3.5	-0.006666667	0
3.5	-0.006666667	0
3.5	-0.006666667	0
3.6	-0.018333333	0
3.8	-0.016666667	0
4.3	-0.013333333	0
4.7	-0.006666667	0
4.9	0	0.001
5	0.01	0.002
5	0.021666667	0.004
5	0.035	0.005
5	0.171666667	0.007
5.2	0.18	0.009
5.3	0.186666667	0.01
5.5	0.195	0.012
5.7	0.201666667	0.014
5.9	0.206666667	0.017
6.1	0.216666667	0.019
6.3	0.225	0.021
6.4	0.233333333	0.023
6.5	0.246666667	0.026
6.7	0.253333333	0.028
6.8	0.261666667	0.031
7	0.27	0.034
7.2	0.275	0.036
7.5	0.285	0.039
7.7	0.295	0.042
7.9	0.308333333	0.045
8.1	0.32	0.049
8.3	0.328333333	0.052
8.6	0.34	0.055
8.8	0.351666667	0.059
9	0.365	0.062
9.3	0.373333333	0.066
9.5	0.383333333	0.07
9.6	0.39	0.074
9.9	0.391666667	0.078
10.1	0.398333333	0.082
10.2	0.405	0.086
10.4	0.41	0.09
10.6	0.415	0.094
10.7	0.42	0.098
10.9	0.42	0.103
11.2	0.423333333	0.107
11.3	0.426666667	0.111
11.5	0.431666667	0.115
11.7	0.436666667	0.12
11.8	0.441666667	0.124
12	0.443333333	0.129
12.2	0.448333333	0.133
12.5	0.45	0.138
12.7	0.453333333	0.142
12.9	0.46	0.147
13.1	0.463333333	0.151
13.2	0.468333333	0.156
13.4	0.473333333	0.161
13.7	0.475	0.166
13.9	0.48	0.17
14.1	0.485	0.175
14.3	0.491666667	0.18
14.4	0.498333333	0.185
14.6	0.503333333	0.19
14.8	0.506666667	0.195
15.1	0.51	0.2
15.3	0.513333333	0.206
15.5	0.518333333	0.211
15.7	0.523333333	0.216
15.9	0.53	0.221
16.1	0.53	0.227
16.4	0.533333333	0.232
16.6	0.538333333	0.237
16.8	0.543333333	0.243
17	0.546666667	0.248
17.2	0.553333333	0.254
17.5	0.555	0.259
17.7	0.555	0.265
17.9	0.561666667	0.271
18.2	0.565	0.276
18.4	0.565	0.282
18.3	0.533333333	0.286
14.7	0.51	0.291
12.7	0.473333333	0.294
12.1	0.408333333	0.297
12	0.345	0.298
12.1	0.27	0.299
12.4	-0.01	0.299
12.7	-0.055	0.298
13	-0.055	0.298
13.2	-0.051666667	0.297
13.3	-0.046666667	0.297
13.3	-0.041666667	0.297
13.3	-0.035	0.298
13.2	-0.031666667	0.298
13.2	-0.028333333	0.298
13.2	-0.026666667	0.297
13.2	-0.028333333	0.297
13.2	-0.026666667	0.297
13.2	-0.026666667	0.296
13.2	-0.026666667	0.296
13.2	-0.025	0.296
13.2	-0.023333333	0.296
13.2	-0.021666667	0.296
13.1	-0.021666667	0.296
13.1	-0.02	0.296
13.1	-0.02	0.295
13.1	-0.018333333	0.295
13	-0.021666667	0.295
13	-0.021666667	0.295
13	-0.021666667	0.294
13	-0.02	0.294
13	-0.02	0.294
13	-0.02	0.294
13	-0.02	0.294
13	-0.111666667	0.292
12.9	-0.218333333	0.29
10	-0.27	0.287
7.8	-0.308333333	0.284
6.4	-0.365	0.28
5.8	-0.396666667	0.275
5.5	-0.425	0.27
5.3	-0.446666667	0.265
4.9	-0.455	0.26
4.5	-0.46	0.255
4.3	-0.466666667	0.25
4.1	-0.468333333	0.245
4.2	-0.47	0.24
4.2	-0.471666667	0.234
4.2	-0.47	0.229
4.2	-0.466666667	0.224
4.2	-0.46	0.219
4.3	-0.455	0.214
4.3	-0.448333333	0.209
4.3	-0.441666667	0.204
4.2	-0.431666667	0.199
4.2	-0.421666667	0.194
4.2	-0.411666667	0.19
4.2	-0.403333333	0.185
4.2	-0.393333333	0.181
4.2	-0.383333333	0.177
4.2	-0.375	0.172
4.2	-0.37	0.168
4.2	-0.361666667	0.164
4.2	-0.353333333	0.16
4.1	-0.346666667	0.157
4.1	-0.336666667	0.153
4.1	-0.33	0.149
4	-0.323333333	0.146
4	-0.318333333	0.142
