3.5	-0.006666667	0
3.5	-0.006666667	0
3.5	-0.006666667	0
3.6	-0.018333333	0
3.8	-0.016666667	0
4.3	-0.013333333	0
4.7	-0.006666667	0
4.9	0	0.001
5	0.01	0.002
5	0.021666667	0.004
5	0.035	0.005
5	0.171666667	0.007
5.2	0.18	0.009
5.3	0.186666667	0.01
5.5	0.195	0.012
5.7	0.201666667	0.014
5.9	0.206666667	0.017
6.1	0.216666667	0.019
6.3	0.225	0.021
6.4	0.233333333	0.023
6.5	0.246666667	0.026
6.7	0.253333333	0.028
6.8	0.261666667	0.031
7	0.27	0.034
7.2	0.275	0.036
7.5	0.285	0.039
7.7	0.295	0.042
7.9	0.308333333	0.045
8.1	0.32	0.049
8.3	0.328333333	0.052
8.6	0.34	0.055
8.8	0.351666667	0.059
9	0.365	0.062
9.3	0.373333333	0.066
9.5	0.383333333	0.07
9.6	0.39	0.074
9.9	0.391666667	0.078
10.1	0.398333333	0.082
10.2	0.405	0.086
10.4	0.41	0.09
10.6	0.415	0.094
10.7	0.42	0.098
10.9	0.42	0.103
11.2	0.423333333	0.107
11.3	0.426666667	0.111
11.5	0.431666667	0.115
11.7	0.436666667	0.12
11.8	0.441666667	0.124
12	0.443333333	0.129
12.2	0.448333333	0.133
